ROUND,METRIC,CLIENT_0,CLIENT_1,CLIENT_2
0,mse,0.037658270448446274,0.06077217310667038,0.03797979652881622
0,mae,0.0026531117036938667,0.009812800213694572,0.002127706538885832
1,mse,0.0405716709792614,0.04128432646393776,0.061549533158540726
1,mae,0.0021765902638435364,0.002773137064650655,0.00927293673157692
2,mse,0.0489949993789196,0.06236083805561066,0.05394671484827995
2,mae,0.003184573259204626,0.008622677065432072,0.0038167512975633144
3,mse,0.04402551427483559,0.04032478109002113,0.057932887226343155
3,mae,0.0028128058183938265,0.0020928550511598587,0.00806861650198698
4,mse,0.05225580558180809,0.03985907509922981,0.041658248752355576
4,mae,0.007089934311807156,0.002370235277339816,0.002434907713904977
5,mse,0.040150146931409836,0.03057326003909111,0.044977977871894836
5,mae,0.00317810894921422,0.0015328348381444812,0.005486637353897095
6,mse,0.04074597358703613,0.028037965297698975,0.038735099136829376
6,mae,0.0032286804635077715,0.0012506175553426147,0.00414188951253891
7,mse,0.037078361958265305,0.025900833308696747,0.034584686160087585
7,mae,0.004319886211305857,0.001067071221768856,0.002449765568599105
8,mse,0.03228754177689552,0.02803919091820717,0.040189240127801895
8,mae,0.001818358083255589,0.0011293226853013039,0.005201904568821192
9,mse,0.025647442787885666,0.02047964185476303,0.03392352908849716
9,mae,0.0016220917459577322,0.0007196223014034331,0.0033158313017338514
