ROUND,METRIC,CLIENT_0,CLIENT_1,CLIENT_2
0,mse,0.046034373342990875,0.05332430452108383,0.049651529639959335
0,mae,0.004872064106166363,0.005329978186637163,0.006184188649058342
1,mse,0.047377604991197586,0.05167718976736069,0.047783445566892624
1,mae,0.004938931670039892,0.004893758334219456,0.005897441878914833
2,mse,0.046520039439201355,0.0406179241836071,0.050691574811935425
2,mae,0.005675217602401972,0.004196018446236849,0.004758625291287899
3,mse,0.05427491292357445,0.044058654457330704,0.04903480038046837
3,mae,0.004977037198841572,0.004301798529922962,0.005851080175489187
4,mse,0.038894299417734146,0.02904750220477581,0.03727149963378906
4,mae,0.002804281422868371,0.0016042145434767008,0.0034538519103080034
5,mse,0.03163021430373192,0.021632127463817596,0.033425912261009216
5,mae,0.0017607951303943992,0.0008952501229941845,0.002542601665481925
6,mse,0.03510008752346039,0.019081104546785355,0.031267113983631134
6,mae,0.0028419988229870796,0.0006869835779070854,0.0017067909939214587
7,mse,0.029946820810437202,0.03494277969002724,0.018580282106995583
7,mae,0.0016411279793828726,0.0025725499726831913,0.0005879841046407819
8,mse,0.03085106611251831,0.019099947065114975,0.028229786083102226
8,mae,0.0021333496551960707,0.0006211887812241912,0.0012617213651537895
9,mse,0.031235815957188606,0.02151118777692318,0.027370216324925423
9,mae,0.0024712937884032726,0.0008060055552050471,0.0013339384458959103
