ROUND,METRIC,CLIENT_0,CLIENT_1,CLIENT_2
0,mse,0.06411896646022797,0.049641385674476624,0.051495153456926346
0,mae,0.00915804598480463,0.0031534843146800995,0.0036435257643461227
1,mse,0.06170960143208504,0.044155631214380264,0.050364185124635696
1,mae,0.009048070758581161,0.0024580659810453653,0.0034704681020230055
2,mse,0.042314767837524414,0.06117964908480644,0.03826052322983742
2,mae,0.002410540822893381,0.009181025438010693,0.0024080565199255943
3,mse,0.04201770946383476,0.04385778307914734,0.055548544973134995
3,mae,0.0026509794406592846,0.0024548431392759085,0.00785889383405447
4,mse,0.04143401235342026,0.03433327004313469,0.04845839738845825
4,mae,0.0030453347135335207,0.0018273004097864032,0.006603035610169172
5,mse,0.04060414806008339,0.033129699528217316,0.04247487336397171
5,mae,0.003238406963646412,0.0018775321077555418,0.0049362159334123135
6,mse,0.0428062379360199,0.03575526922941208,0.03321585804224014
6,mae,0.005021883174777031,0.0023285900242626667,0.0017434736946597695
7,mse,0.035087794065475464,0.0273085106164217,0.03566813841462135
7,mae,0.002507710363715887,0.001371733145788312,0.00361777120269835
8,mse,0.027514556422829628,0.03445865586400032,0.02175729349255562
8,mae,0.0012568678939715028,0.0027938501443713903,0.0010430333204567432
9,mse,0.023310812190175056,0.020446060225367546,0.031148673966526985
9,mae,0.001065811375156045,0.0007722486625425518,0.0029346230439841747
