ROUND,METRIC,CLIENT_0,CLIENT_1,CLIENT_2
0,mse,0.06467235088348389,0.04660723730921745,0.037732891738414764
0,mae,0.009974855929613113,0.003089969279244542,0.0026548458263278008
1,mse,0.04202774912118912,0.06161307543516159,0.04442666098475456
1,mae,0.0022789251524955034,0.00928882323205471,0.002987181767821312
2,mse,0.04464200884103775,0.04183351993560791,0.06075488403439522
2,mae,0.0026172930374741554,0.0026431388687342405,0.008847030811011791
3,mse,0.039841972291469574,0.04099114611744881,0.05789627507328987
3,mae,0.002402721671387553,0.002244568197056651,0.00798853300511837
4,mse,0.03533900901675224,0.03666749969124794,0.04872050881385803
4,mae,0.0019623409025371075,0.002146682934835553,0.006432932335883379
5,mse,0.04558848589658737,0.051062993705272675,0.042929280549287796
5,mae,0.0029680877923965454,0.00589533057063818,0.002777883317321539
6,mse,0.030697420239448547,0.034383513033390045,0.04271824657917023
6,mae,0.001542047830298543,0.0017514395294710994,0.004791977349668741
7,mse,0.04117138683795929,0.03289775922894478,0.03518197312951088
7,mae,0.005063172429800034,0.0017129117622971535,0.002224388998001814
8,mse,0.03376476466655731,0.023676423355937004,0.029044657945632935
8,mae,0.0035698937717825174,0.0009634688030928373,0.0018056348199024796
9,mse,0.021787147969007492,0.03489476814866066,0.02785320393741131
9,mae,0.0008029082673601806,0.003272348316386342,0.0014798693591728806
