ROUND,METRIC,CLIENT_0,CLIENT_1,CLIENT_2
0,mse,0.04972885176539421,0.05062480643391609,0.056411050260066986
0,mae,0.005026475992053747,0.006092246621847153,0.005402357783168554
1,mse,0.04567905142903328,0.04581060633063316,0.051688775420188904
1,mae,0.0047615887597203255,0.0057339901104569435,0.0047222282737493515
2,mse,0.04602866992354393,0.047473739832639694,0.05449531599879265
2,mae,0.004561867564916611,0.005718228407204151,0.004990181885659695
3,mse,0.04431649670004845,0.04542271047830582,0.04095471277832985
3,mae,0.004618648439645767,0.003736131126061082,0.003414891427382827
4,mse,0.03180224448442459,0.025126425549387932,0.03280571848154068
4,mae,0.002038506790995598,0.0012180941412225366,0.002587843919172883
5,mse,0.03060666285455227,0.030217742547392845,0.019345706328749657
5,mae,0.002247655065730214,0.0017238763393834233,0.0006889777141623199
6,mse,0.0282759927213192,0.029205186292529106,0.01917465589940548
6,mae,0.0014893807237967849,0.0020693575497716665,0.000722600962035358
7,mse,0.01738908141851425,0.029574567452073097,0.02869981713593006
7,mae,0.000596489233430475,0.0018750177696347237,0.0013679994735866785
8,mse,0.030130157247185707,0.02055155672132969,0.029520835727453232
8,mae,0.0020435499027371407,0.0007038235780782998,0.0013690670020878315
9,mse,0.018813755363225937,0.02433355152606964,0.026863669976592064
9,mae,0.0007171329925768077,0.0011564744636416435,0.0015891575021669269
